arch,suite,op,engine,median_ms
budget,kv_json,update_field,worktable,98.9459
budget,kv_json,update_field,worktable-arctic,99.605
budget,kv_json,update_field,worktable-congee,96.1379
intel,kv,insert,lmdb,2.3976
intel,kv,insert,redb,5.4998
intel,kv,insert,sqlite,7.3709
intel,kv,insert,worktable,12.016
intel,kv,insert,worktable-arctic,10.2136
intel,kv,insert,worktable-congee,10.1977
intel,kv,overwrite,lmdb,3.2516
intel,kv,overwrite,redb,5.3111
intel,kv,overwrite,sqlite,5.3706
intel,kv,overwrite,worktable,15.8656
intel,kv,overwrite,worktable-arctic,13.4418
intel,kv,overwrite,worktable-congee,13.786
intel,kv,point_read,lmdb,2.2757
intel,kv,point_read,redb,2.3571
intel,kv,point_read,sqlite,3.9508
intel,kv,point_read,worktable,2.3598
intel,kv,point_read,worktable-arctic,1.4199
intel,kv,point_read,worktable-congee,1.5237
intel,kv,range_scan,lmdb,0.9055
intel,kv,range_scan,redb,2.4914
intel,kv,range_scan,sqlite,2.7423
intel,kv,range_scan,worktable,2.5019
intel,kv,range_scan,worktable-arctic,2.6725
intel,kv,range_scan,worktable-congee,2.7943
intel,kv_json,insert,lmdb-json,21.5804
intel,kv_json,insert,redb-json,173.0472
intel,kv_json,insert,worktable,12.5476
intel,kv_json,insert,worktable-arctic,10.7429
intel,kv_json,insert,worktable-congee,10.775
intel,kv_json,point_get,lmdb-json,3.7641
intel,kv_json,point_get,redb-json,3.6823
intel,kv_json,point_get,worktable,1.9994
intel,kv_json,point_get,worktable-arctic,1.0694
intel,kv_json,point_get,worktable-congee,1.2428
intel,kv_json,query_field,lmdb-json,1.8143
intel,kv_json,query_field,redb-json,2.2771
intel,kv_json,query_field,worktable,1.5577
intel,kv_json,query_field,worktable-arctic,1.5245
intel,kv_json,query_field,worktable-congee,1.7985
intel,kv_json,update_field,lmdb-json,25.6056
intel,kv_json,update_field,redb-json,180.6785
intel,kv_json,update_field,worktable,52.1913
intel,kv_json,update_field,worktable-arctic,49.902
intel,kv_json,update_field,worktable-congee,50.4863
